ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
-4.31,-2.34,7.72,-0.07,0.06,0.04,0.0,0.0,0,0,1
-4.41,-2.27,7.86,-0.08,-0.01,0.15,0.0,0.0,0,0,1
-4.13,-2.52,7.62,-0.02,0.07,0.0,0.0,0.0,0,0,1
-4.6,-2.11,7.58,-0.03,0.16,-0.05,0.0,0.0,0,0,1
-4.59,-2.03,7.61,-0.07,0.06,0.01,0.0,0.0,0,0,1
-4.55,-2.01,7.62,-0.07,0.05,0.01,0.0,0.0,0,0,1
-4.72,-1.99,7.6,-0.05,0.07,0.02,0.0,0.0,0,0,1
-6.28,-0.2,6.92,-0.01,0.29,-0.14,0.0,0.0,0,0,1
-5.44,-0.28,8.56,0.3,0.38,-0.13,406.91,515.2,0,0,1
-2.92,6.05,1.75,0.31,-0.48,1.74,456.25,625.91,0,0,1
-4.36,8.63,2.84,0.28,0.24,-0.2,410.77,559.98,0,0,1
-2.49,10.28,2.27,-0.03,0.02,0.12,0.0,306.63,0,0,1
-1.88,3.19,2.61,-0.07,-0.52,-0.04,726.03,904.95,0,0,1
-1.71,11.04,2.71,-0.01,0.23,-0.43,630.0,750.91,0,0,1
-1.88,9.3,1.57,0.07,0.15,0.13,451.96,510.66,0,0,1
0.05,9.69,2.13,-0.06,-0.65,0.03,435.15,542.32,0,0,1
-0.45,4.64,2.03,0.2,0.65,1.12,1288.07,1647.86,1,0,1
0.35,10.69,0.06,-0.07,-0.08,-0.23,650.23,714.7,0,1,1
0.22,12.08,2.02,-0.17,-0.38,0.43,538.56,592.68,0,1,1
0.18,6.04,1.26,-0.06,0.1,-0.25,658.13,924.81,0,1,1
-0.48,11.67,0.8,-0.29,0.57,-0.45,866.48,1196.19,0,1,1
-1.9,10.08,2.39,0.09,0.06,0.27,476.12,565.14,0,1,1
-0.45,8.17,1.22,0.05,-0.67,-0.4,555.85,657.19,0,1,1
-0.34,6.77,1.6,0.13,0.77,1.06,701.98,933.11,0,1,1
-0.38,11.52,0.4,-0.06,0.5,-0.71,582.76,722.51,0,1,1
-0.79,11.95,1.57,-0.14,-0.11,0.88,566.89,705.06,0,1,1
1.09,7.95,0.27,-0.18,-0.53,-0.97,837.53,1122.0,0,1,1
-0.95,7.7,0.45,0.33,1.27,0.87,661.87,801.79,0,1,1
0.4,10.85,2.39,-0.11,0.06,-0.32,639.32,882.03,0,1,1
3.35,10.92,0.67,0.12,-0.25,0.83,932.37,1184.41,0,1,1
1.67,5.38,0.71,-0.13,-0.06,0.32,996.12,1191.72,0,1,1
1.79,11.32,1.69,0.21,0.3,-0.68,741.93,880.94,0,1,1
-0.14,9.66,0.06,-0.15,-0.01,-0.1,768.93,1014.61,0,1,1
0.82,10.8,1.07,-0.42,-0.35,0.24,1102.8,1458.11,0,1,1
0.54,5.92,2.15,-0.03,0.23,0.68,1067.03,1242.19,0,1,1
0.19,9.93,1.05,0.01,0.18,-0.13,791.03,904.37,0,1,1
-0.85,9.36,1.05,-0.06,-0.19,0.01,671.54,839.31,0,1,1
-0.11,12.97,1.66,-0.14,-0.11,0.18,1329.68,1650.07,1,1,1
0.94,4.19,1.01,-0.14,0.22,-0.4,1079.85,1210.43,0,2,1
1.52,11.87,0.98,-0.03,0.33,-0.04,932.67,1034.56,0,2,1
-0.66,8.97,1.33,-0.1,-0.22,0.37,790.37,926.12,0,2,1
0.3,11.84,1.52,-0.18,-0.25,0.26,1079.01,1306.76,0,2,1
0.15,6.44,0.95,0.26,-0.6,-1.14,1025.21,1209.13,0,2,1
-0.31,8.16,1.63,-0.08,0.65,0.85,1073.38,1303.9,0,2,1
1.44,12.05,1.09,-0.41,0.31,-0.36,949.2,1134.94,0,2,1
-0.14,9.5,1.16,-0.1,0.14,-0.05,1727.29,1918.5,1,2,1
0.33,10.64,1.11,-0.17,-0.33,-0.08,1333.52,1489.26,0,3,1
-0.27,5.54,1.72,-0.06,0.51,1.08,1232.04,1422.27,0,3,1
-0.23,11.85,2.19,0.33,0.15,-0.65,1018.16,1162.14,0,3,1
-1.62,9.54,0.7,-0.11,0.21,-0.02,1798.3,1931.91,1,3,1
-0.34,11.81,1.44,-0.34,0.03,0.73,1381.35,1552.95,1,3,1
-1.33,6.91,1.46,-0.05,0.69,0.85,1111.79,1318.67,0,4,1
-0.02,10.83,2.2,0.24,0.13,-0.1,980.19,1140.95,0,4,1
-1.18,9.67,-0.17,-0.1,-0.01,0.13,1696.92,1815.8,1,4,1
1.83,13.26,-0.87,-0.24,-0.0,0.75,1367.52,1540.42,1,4,1
1.27,5.54,-0.25,-0.19,-0.23,-0.86,1130.94,1296.3,0,5,1
1.57,10.78,-1.45,-0.62,0.38,-0.04,1055.62,1141.26,0,5,1
0.13,11.58,1.01,-0.06,0.54,-0.22,648.12,744.48,0,5,1
0.11,9.68,0.76,-0.13,0.13,-0.0,509.53,597.79,0,5,1
0.58,11.15,0.21,-0.03,-0.12,0.39,574.83,737.08,0,5,1
-0.92,6.27,0.31,-0.19,0.26,0.78,582.38,660.82,0,5,1
-0.1,11.44,1.2,-0.2,-0.12,-0.27,431.63,505.19,0,5,1
0.09,9.42,0.83,-0.07,0.28,0.09,1216.3,1546.48,1,5,1
1.13,9.34,0.48,-0.44,-0.68,-0.32,809.99,949.54,0,6,1
-0.67,6.32,2.25,0.06,0.32,1.16,699.9,874.73,0,6,1
46.0,11.08,1.33,0.14,-0.1,0.37,584.2,654.31,0,6,1
2.84,9.3,0.5,-0.04,0.16,-0.06,738.48,850.73,0,6,1
3.65,12.55,0.74,-0.07,-0.07,0.15,684.85,778.38,0,6,1
1.13,6.57,-0.12,-0.03,-0.1,-1.15,830.7,1072.81,0,6,1
0.34,9.13,0.84,0.09,0.51,0.89,598.82,669.01,0,6,1
7.44,10.46,1.1,0.07,0.42,0.45,608.35,739.24,0,6,1
4.13,8.94,0.82,0.01,0.18,-0.17,483.06,546.62,0,6,1
4.36,12.54,1.34,-0.57,-0.08,-0.04,647.45,785.54,0,6,1
0.11,4.75,1.08,-0.12,-0.05,-0.41,871.03,1143.15,0,6,1
1.21,10.55,0.82,-0.25,0.48,0.11,608.67,738.23,0,6,1
1.41,9.53,0.52,-0.05,0.07,-0.04,659.11,827.74,0,6,1
1.05,10.24,1.15,-0.11,-0.05,0.01,935.64,1054.83,0,6,1
1.7,7.67,1.63,0.07,-0.94,-1.1,864.83,1076.85,0,6,1
0.47,6.58,0.63,-0.11,0.48,1.03,663.93,840.49,0,6,1
0.06,11.34,0.4,0.2,0.33,-0.03,622.32,732.36,0,6,1
0.74,9.8,-0.06,-0.27,0.05,-0.09,742.84,798.76,0,6,1
1.28,12.06,1.03,-0.21,-0.06,0.37,693.78,812.49,0,6,1
0.18,6.18,0.59,0.17,-0.64,-1.65,676.36,827.01,0,6,1
0.09,10.9,1.52,-0.07,0.51,0.38,784.62,945.29,0,6,1
1.0,12.33,1.02,-0.07,0.65,0.11,710.4,815.08,0,6,1
0.73,10.66,0.7,-0.13,0.01,0.25,837.25,1023.24,0,6,1
1.53,8.18,1.18,-0.31,-0.81,-0.9,713.69,810.36,0,6,1
-1.12,7.47,1.89,0.1,0.76,1.46,703.43,874.24,0,6,1
1.64,11.28,2.35,0.49,0.26,-0.33,662.51,796.49,0,6,1
1.61,9.66,0.89,-0.13,0.14,0.01,1450.76,1729.57,1,6,1
3.07,13.99,1.9,-0.07,-0.27,0.52,1166.76,1373.09,0,7,1
-0.23,5.55,1.29,-0.32,-0.17,-0.51,804.19,960.14,0,7,1
2.08,11.7,0.68,0.17,0.04,-0.08,688.83,789.76,0,7,1
0.39,9.72,-0.37,-0.14,-0.1,-0.03,1285.85,1587.97,1,7,1
-0.5,9.82,0.18,-0.15,0.09,0.08,1617.64,1826.24,1,7,1
-0.06,5.01,1.8,-0.23,-0.5,-1.11,1016.24,1139.25,0,8,1
-0.08,10.64,2.51,-0.22,0.32,0.07,786.88,874.5,0,8,1
0.28,10.1,0.94,0.11,0.3,-0.11,1233.11,1544.6,1,8,1
-0.6,11.19,1.02,-0.08,0.15,0.21,1671.91,1831.86,1,8,1
0.25,7.41,-0.22,-0.02,-0.7,-1.0,1146.03,1262.16,0,9,1
-0.06,6.63,2.62,-0.54,0.37,0.95,855.98,982.8,0,9,1
1.27,11.84,0.99,0.52,0.33,-0.45,798.02,1018.28,0,9,1
-1.36,10.01,0.05,-0.13,0.06,0.08,930.33,1187.16,0,9,1
1.55,12.65,2.08,-0.19,-0.77,0.24,1090.79,1259.72,0,9,1
-0.94,6.14,1.19,-0.19,0.17,0.65,785.71,932.92,0,9,1
