ax,ay,az,gx,gy,gz,mav,rms
9.7,4.63,-1.96,0.69,-0.01,1.93,1063.33,1200.14
9.67,3.27,-1.95,0.47,0.12,1.54,1018.31,1151.13
10.83,2.51,-2.61,0.47,0.23,1.26,822.46,891.55
10.97,1.02,-1.57,0.22,-0.28,1.08,639.51,677.14
11.43,0.49,-2.35,0.13,0.1,0.64,465.03,550.1
11.86,0.43,-2.13,-0.05,-0.01,0.0,318.32,350.99
9.4,0.78,-1.42,-0.06,-0.04,-0.16,243.86,347.85
9.46,0.58,-1.66,-0.01,0.1,0.06,185.59,229.63
10.32,0.66,-1.87,-0.08,0.15,0.05,220.34,255.25
9.9,0.61,-1.49,-0.09,0.08,-0.04,260.06,363.55
9.96,0.75,-1.65,-0.04,0.02,-0.03,378.2,574.0
11.08,0.73,-1.96,-0.14,-0.1,-0.26,662.22,1119.3
12.61,1.13,-2.59,-0.39,0.08,-0.92,518.52,723.77
11.67,1.97,-2.4,-0.69,0.05,-1.82,603.51,828.55
10.21,3.83,-2.31,-1.12,-0.28,-2.33,1215.75,1653.56
7.74,5.34,-1.27,-1.36,-0.14,-2.59,1314.75,1653.72
4.06,5.91,0.3,-1.4,-0.57,-2.47,898.11,1089.09
2.6,7.37,1.24,-1.27,-0.25,-2.19,1058.46,1318.8
0.13,7.81,2.36,-1.16,-0.14,-1.89,1134.2,1362.63
-1.48,8.07,4.23,-1.0,-0.26,-1.56,1287.55,1494.95
-1.5,7.99,4.65,-0.4,0.03,-0.47,1341.96,1529.27
-2.45,9.08,4.37,-0.08,0.17,0.02,1333.57,1487.69
-1.6,8.53,3.99,0.05,0.1,0.19,1432.29,1586.06
-1.66,8.56,3.56,0.07,0.15,0.24,1330.2,1479.89
-2.2,6.95,4.15,0.93,0.53,1.61,1208.71,1358.42
-0.97,7.41,2.95,1.48,1.01,2.7,1199.43,1330.07
