ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
0.10,0.44,9.28,0.15,0.33,-0.06,835.53,1078.21,0,0,1
0.02,0.88,9.40,0.20,0.44,-0.08,714.24,899.95,0,0,1
0.11,1.23,10.15,0.49,0.20,-0.19,602.92,709.22,0,0,1
-0.77,2.19,10.17,1.05,0.38,-0.27,667.54,771.98,0,0,1
-1.10,3.38,7.67,1.93,1.28,-0.59,706.87,823.03,0,0,1
-3.92,4.73,7.30,2.52,2.09,-0.56,840.73,992.91,0,0,1
-7.17,9.06,4.12,2.96,3.78,0.73,945.61,1128.12,0,0,1
-11.11,12.19,-0.94,1.61,3.32,3.19,667.64,752.84,0,0,1
-3.28,6.88,-1.32,0.41,0.75,4.27,585.10,627.01,0,0,1
-0.37,2.84,-0.39,-0.02,0.79,4.25,838.19,1192.29,0,0,1
6.72,1.06,0.60,-0.18,0.89,3.38,670.09,841.28,0,0,1
10.09,1.54,0.85,-0.29,0.14,2.27,629.02,743.60,0,0,1
13.23,2.77,-0.82,-0.34,-0.12,0.87,496.38,567.48,0,0,1
9.15,3.35,-0.59,-0.72,0.08,-0.37,417.88,469.38,0,0,1
9.04,4.00,0.06,-0.13,0.10,0.08,373.14,427.84,0,0,1
9.32,3.51,-0.51,-0.11,0.20,0.04,336.16,412.87,0,0,1
9.41,3.32,0.01,-0.10,0.10,0.06,329.00,410.69,0,0,1
9.57,3.71,-0.12,-0.06,0.01,-0.02,350.16,426.39,0,0,1
9.90,2.97,0.15,-0.27,-0.41,-0.21,329.78,367.76,0,0,1
9.92,0.90,0.40,-1.03,-0.71,-1.60,355.20,420.91,0,0,1
3.97,3.08,0.38,-1.07,-0.69,-2.73,400.23,471.15,0,0,1
2.62,5.97,0.12,-1.52,0.09,-3.54,492.64,610.83,0,0,1
-1.90,10.35,3.09,-1.22,-0.20,-3.80,845.68,1268.53,0,0,1
-3.12,14.81,0.89,-0.25,-0.35,-2.36,1363.32,1803.74,1,0,1
-1.25,14.47,1.45,0.60,0.91,2.47,789.72,849.43,0,1,1
0.05,10.52,1.64,0.47,0.88,3.09,515.80,607.00,0,1,1
0.05,10.52,1.64,0.47,0.88,3.09,1554.26,1942.99,1,1,1
1.47,7.51,1.53,0.20,0.67,2.96,927.43,1073.60,0,2,1
5.65,3.91,1.23,0.46,0.19,2.28,647.53,738.73,0,2,1
7.61,3.45,0.54,0.52,0.50,1.51,515.62,612.39,0,2,1
8.19,3.00,1.56,0.26,0.18,1.48,503.57,598.62,0,2,1
10.12,1.69,0.50,0.09,0.32,1.36,554.01,688.48,0,2,1
11.17,-0.07,0.56,-0.24,0.06,0.58,490.30,596.42,0,2,1
9.69,1.53,1.11,-0.11,-0.03,-0.11,408.19,493.05,0,2,1
9.95,2.06,0.57,-0.01,-0.18,0.08,318.50,381.91,0,2,1
9.66,1.84,1.06,-0.07,0.05,-0.04,396.19,507.78,0,2,1
10.43,0.26,1.05,-0.11,-0.22,-0.44,546.16,718.55,0,2,1
9.49,-0.59,1.44,-0.07,-0.37,-1.75,630.20,783.82,0,2,1
6.23,2.57,0.13,-0.51,-0.58,-2.39,606.40,716.18,0,2,1
4.12,6.62,0.14,-1.05,0.14,-2.46,582.11,714.93,0,2,1
3.23,7.68,1.86,-1.05,-0.09,-2.65,628.38,739.31,0,2,1
-0.42,11.60,3.56,-0.85,-0.29,-2.72,1057.24,1411.75,1,2,1
-0.87,11.50,2.65,-0.34,-0.05,-1.97,1243.49,1520.62,1,2,1
-1.34,12.82,1.09,-0.18,0.09,-0.88,992.66,1152.57,0,3,1
-1.79,11.31,2.56,-0.16,0.28,0.43,784.87,858.98,0,3,1
-0.49,11.77,1.28,0.34,0.45,0.96,798.52,1005.82,0,3,1
0.32,14.30,1.91,0.32,0.32,2.34,617.95,706.86,0,3,1
0.42,10.19,3.00,0.13,0.05,2.84,506.01,558.44,0,3,1
2.40,6.86,2.30,-0.11,0.30,2.42,660.12,833.50,0,3,1
4.58,3.76,1.99,0.31,-0.27,1.83,627.89,770.60,0,3,1
7.13,3.52,0.41,0.53,0.07,1.41,535.33,623.12,0,3,1
7.69,3.45,1.24,0.47,0.21,1.31,521.99,625.60,0,3,1
9.65,2.22,0.62,0.44,0.25,1.19,413.60,472.01,0,3,1
11.08,1.12,0.98,-0.03,0.07,0.43,345.90,388.60,0,3,1
9.88,2.38,0.82,-0.11,0.02,-0.10,382.09,498.39,0,3,1
9.30,2.55,0.79,-0.13,-0.03,-0.13,510.71,783.70,0,3,1
9.83,2.87,0.78,-0.13,0.12,-0.05,388.42,465.71,0,3,1
9.98,2.41,0.68,-0.02,-0.11,-0.24,460.10,563.65,0,3,1
10.22,0.36,0.62,-0.13,-0.17,-1.14,564.47,718.15,0,3,1
7.84,0.92,0.54,-0.37,-0.24,-2.41,710.01,868.40,0,3,1
3.35,4.69,0.36,-0.95,0.03,-2.67,552.87,650.09,0,3,1
2.50,8.31,2.08,-0.58,0.10,-2.43,527.77,588.64,0,3,1
0.34,9.86,3.10,-0.76,-0.37,-2.28,689.69,1017.10,0,3,1
-1.33,12.25,3.30,-0.51,-0.46,-2.08,1428.25,1777.29,1,3,1
-1.95,13.18,1.95,0.25,0.20,1.13,912.51,1184.06,0,4,1
-0.23,12.17,2.25,0.34,0.31,2.11,699.08,783.01,0,4,1
1.24,10.65,2.23,0.23,0.20,2.66,637.74,699.96,0,4,1
2.62,7.19,1.92,0.24,0.20,2.53,590.25,674.09,0,4,1
5.14,4.20,1.78,0.54,0.10,1.91,648.78,857.16,0,4,1
6.99,4.76,0.21,0.80,0.58,1.27,603.26,763.02,0,4,1
7.35,4.35,1.80,0.08,0.34,1.43,640.28,799.59,0,4,1
8.94,2.54,1.49,-0.01,0.33,1.19,564.21,749.63,0,4,1
10.12,1.69,1.49,-0.18,0.19,0.47,438.15,503.41,0,4,1
10.01,2.87,1.26,-0.24,0.08,0.12,426.89,481.65,0,4,1
9.81,2.58,1.55,0.02,0.01,0.04,344.94,383.57,0,4,1
9.47,2.52,1.42,0.00,0.11,-0.12,426.45,519.86,0,4,1
10.23,3.17,1.40,0.03,0.01,-0.33,542.06,655.32,0,4,1
9.63,2.02,1.63,-0.23,-0.13,-1.02,570.66,716.53,0,4,1
7.16,2.72,2.10,-0.63,-0.42,-1.74,650.72,870.37,0,4,1
4.73,4.78,2.04,-0.88,-0.50,-2.23,604.36,733.18,0,4,1
4.05,6.69,0.62,-1.15,-0.58,-2.57,551.57,654.42,0,4,1
0.00,7.66,2.15,-0.86,-0.13,-3.32,555.15,655.90,0,4,1
-2.67,11.83,2.60,-0.27,-0.18,-3.11,1540.80,1913.73,1,4,1
-1.97,15.20,1.92,-0.62,0.24,-0.42,1048.37,1271.94,0,5,1
-3.18,11.41,1.71,0.32,0.13,0.88,849.59,903.44,0,5,1
-0.14,12.59,1.93,0.54,0.23,2.06,607.71,672.05,0,5,1
0.85,10.74,0.62,0.39,0.32,2.94,547.00,692.14,0,5,1
2.92,8.15,0.87,0.25,0.60,2.88,1086.37,1455.93,1,5,1
8.20,3.24,-0.18,0.54,0.40,1.32,591.34,676.67,0,6,1
10.07,1.94,0.45,-0.12,0.24,1.18,523.30,591.61,0,6,1
10.01,0.37,2.37,-0.04,0.27,0.47,522.72,589.51,0,6,1
10.02,1.40,0.48,-0.09,0.05,0.23,411.04,484.49,0,6,1
9.92,1.70,0.85,-0.03,0.04,-0.10,375.45,409.79,0,6,1
10.05,1.99,0.96,0.04,0.01,0.01,296.38,333.11,0,6,1
